Teks,Sentimen
cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm ,Positif
'aku di rumah aja' adalah anagram dari 'besok malam minggu',Netral
jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k ,Netral
aku juga pernah dah kek gitu 2x gaada hasil percumaa,Negatif
ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana ,Negatif
cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku,Positif
ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau ,Positif
aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,Negatif
kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg ,Negatif
pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,Negatif
aku nk walk in ajelah senang,Positif
jadilah seperti aku,Positif
sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat ,Positif
aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a ,Netral
gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp ,Negatif
temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,Positif
hahaa aku juga ga ngerti tadi tp asal jwb aja,Positif
kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men ,Positif
yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu ,Negatif
aku terhibur hahahahahahahahahahahaha,Positif
kamu juga kan ,Netral
x de adab betul budak ni pinjam buku aku ,Netral
okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber ,Positif
makin lama rasa apebende laa aku melalut ni i better stop ,Negatif
iya lucu emang dia aku temenan di ig,Positif
dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak ,Negatif
member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot ,Negatif
hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negatif
kenapa popular weh sorry aku blur x paham mksd hg ,Netral
lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,Positif
give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov ,Positif
broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d ,Netral
kak mau jugaa,Positif
mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan ,Netral
kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi ,Negatif
aku tak faham betul lelaki tak suka perempuan pakai makeup ,Negatif
wasyuu ,Negatif
kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew ,Positif
aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit ,Positif
guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar ,Positif
ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb ,Netral
kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt ,Positif
at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to ,Negatif
macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka ,Negatif
kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa ,Netral
kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun ,Positif
karena aku kepo 11 13 20,Netral
aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin ,Negatif
her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru ,Negatif
berarti aku bener dong jawab cowok dapet 2jt nggak nih ,Netral
tls followan ama aku yukk rep rt kita temenan,Netral
14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,Negatif
terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan ,Negatif
back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i ,Negatif
masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis ,Negatif
kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Negatif
iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,Negatif
buat dong aku kan juga istrinya daniel ,Positif
kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai ,Negatif
hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit ,Positif
sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss,Negatif
antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki ,Netral
lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk ,Netral
ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana ,Netral
guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa ,Positif
sudah waktunya aku mulai menjalani hidupku sendiri mello death note ,Negatif
so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei ,Netral
nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri ,Negatif
ya allah pengen ngakak goler2 aku sama trit iniiii ,Netral
tolong la harini je dah banyak sangat ketawa krem perut aku yall,Positif
i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,Negatif
mu gemes banget adminnya aku ga jadi marah ,Negatif
pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa ,Netral
siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s ,Netral
kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka ,Netral
gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,Positif
aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo ,Positif
bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt ,Negatif
keluar airmata jantan aku baca ,Negatif
siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p ,Negatif
aku tadi nge rt wah wah wah,Netral
wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape ,Negatif
sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu ,Netral
temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb ,Positif
antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka ,Netral
izinkan aku mengupload ini ,Netral
aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin ,Negatif
dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl ,Negatif
bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,Positif
segitu kangennya ya mba sama aku ,Positif
kamu jangan lupa sholat dzuhurnya,Netral
life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu ,Netral
bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,Negatif
hidup ini adalah pilihan yang harus kamu pilih,Positif
tiap salam buat suami aku exo di korea paaak ,Netral
laa haha sorry2 akualah paham ,Negatif
receeehh ah kamu,Negatif
masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap ,Netral
sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau ,Negatif
tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l ,Netral
if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah ,Positif
hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negatif
mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be ,Negatif
aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,Negatif
kok gitu sama aku,Negatif
kukira aku introvert ternyata juga pedopil ,Negatif
7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b ,Netral
sayang lagi sakit jadi aku harus sentiasa ada buat sayangku ,Positif
omg kau jgn buat aku g kfc ppagi cmni ,Negatif
mamak ni nak try aku ke apa ,Netral
ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan ,Negatif
tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t ,Netral
i liked a video aku tanya pak jokowi pakai bahasa jawa ,Positif
kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada ,Negatif
aku ngatau nih bang definisi berhasil apa nga ,Netral
sama aku kapan ,Netral
aku main ww deg degan mulu wkwkwk id kamu apaa ,Netral
kayak woojin kesringan barengih dasar anak kembar ,Negatif
okaay nggapapaa aku minta doyoung ajaa makasih yaa ,Positif
kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Negatif
aku jual ,Netral
dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat ,Negatif
waw beliin buat aku dong,Netral
aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat ,Positif
le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,Positif
tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang,Negatif
rama gak usah ganggu aku sama karya ya tolong ,Negatif
jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia ,Negatif
pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,Positif
amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara ,Netral
aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab ,Netral
td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk ,Negatif
aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca ,Positif
sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan ,Netral
kamu sudah shalat jum'at belum letsfridaypray,Netral
nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk ,Negatif
rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak ,Negatif
giveaway ina only adakah yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekalian ,Netral
semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt ,Netral
sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt ,Negatif
jika aku jadi ratumu maka pasti kau rajanya ya kan ,Positif
aku baru je tukar tayar depan myvi sepasang rm 450 semalam ,Netral
hallo td aku berselancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket ,Netral
boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr ,Negatif
orang selalu kata aku penat when dia sebenarnya tengah rasa sedih ,Negatif
aku beria sekalipun bukannya kau nak appreciate ,Negatif
aku nak buat nie ti,Netral
pipi nya cubit pipi kamu emang mau nya di cium dmn ,Netral
aku harap dia tak jual fhone 8 dia semata nak beli xs tu ,Negatif
memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma ,Netral
kalo aku bacanya sih emang kamu yang ngetik ga jelas wkwkwk,Netral
aku penggemar mie burung dara enaknya nyambung terus,Positif
assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku ,Negatif
kalen kalen pada jahad ma aku ,Negatif
weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk ,Negatif
lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi ,Negatif
giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga ,Netral
ni kalau suami aku panggil sayang macam ni we're gonna make babies right after ,Positif
ngapain kamu ,Netral
aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then ,Negatif
be strong bro ,Positif
pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s ,Netral
aku dok bayang macam alien keluaq dari dada,Netral
di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d ,Positif
adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better ,Netral
fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him ,Netral
laki pun ada je ayat ni lahai ,Netral
diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dng orang yg bahkan menolak tuk mendengarkan ,Netral
tengok ni ,Netral
tls followan ama aku yukk rep rt kita temenan,Netral
isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to ,Netral
cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu ,Positif
aku ngak haha cuma bawa tas selempang kecil aja udah kemana2 ,Netral
biasanya lewat jalur mana ke arah kampung kamu ,Netral
udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati ,Negatif
tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani ,Positif
hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negatif
let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n ,Positif
1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore ,Negatif
ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f ,Positif
rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa,Netral
memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma ,Netral
kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak ,Positif
kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Netral
ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenalan ya ,Netral
sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm ,Negatif
stay beside you was my job hehee sayang kamu ,Positif
sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah ,Netral
dah lah cpk aku,Negatif
sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu ,Negatif
benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas ,Netral
ga ko aku juga pake bagpack,Netral
hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu ,Positif
aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al ,Netral
aku ingatkan berhari hari takda data ada la org cari aku dekat ws rupanya takda langsong ,Netral
baca ni aku tergolong org yg kaya ,Netral
fams sama aku yuk ,Positif
hari2 kalau tido brape jam je boleh mati sia otak aku ,Netral
hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee ,Netral
sembang dengan budak legend aku kau belajar kat mana main ml memboi ,Netral
aku nangis nih ,Negatif
bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je ,Netral
aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,Positif
aku ditusuk dr belakang sakit ,Negatif
askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soalnya mama kamu m ,Netral
aku tahu kalau check in the girls akan idamkan peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na ,Netral
tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p ,Netral
aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab ,Netral
nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https ,Netral
tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu menjadi serimu dalam lima waktu mak pun sound da ,Netral
selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang ,Negatif
sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe ,Negatif
aku tambahin deh nih,Netral
i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' ,Negatif
aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat ,Netral
wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya ,Positif
aku macam tahu je siapa bdhshshhs,Netral
tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi ,Negatif
kamu akan tanya karena aku pun juga mau tanya ,Netral
udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti ,Positif
aku lg baca buku ini yg suka puisi yuk reply halamannya dari 2 sampe 153 nanti aku fotoin rlt ,Netral
kenapa nama kucing sama denngan nama aku ,Netral
gilaaa beliin aku dong kak ,Positif
aku jual yg penting emailnya masih aktif,Netral
ayo siapa lagi yang mau ,Netral
freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt ,Netral
woooojin apaaa jihoon ha,Netral
kahkah tu lah aku confuse ni hmmm,Netral
wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant ,Negatif
ga yg ini aku masih pilih2 pemenangnyausah komentarnya pada bagus2 jdi bingung pilihnya tunggu sebentar lg okem ,Netral
bila cg intai kertas exam masa kau buat ,Netral
me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak ,Negatif
gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama ,Negatif
mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp,Netral
yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a ,Negatif
wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh ,Netral
kalau kamu mau dihormati harus mau menghormati,Positif
aku daftarr g jfclosedday,Netral
makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb ,Negatif
tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini ,Positif
tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya ,Negatif
